quesstion_id,question,img_code,answer_a,answer_b,answer_c,answer_d,type
570,"Nhóm phát triển sản phẩm học tiếng Anh muốn xem liệu có sự khác biệt về số lượng bài học được học hàng tuần trước và sau khi người dùng mua gói premium không?
Dưới đây là dữ liệu Paired Sample T Test của 1 nhóm user trước và sau khi mua gói premium học tiếng Anh.
Kết luận nào sau đây là đúng?",1234569526,"Vì mua gói premium, người dùng học nhiều bài học / tuần hơn.","Sau khi mua gói premium, người dùng học nhiều bài học / tuần hơn. ",Chưa đủ dữ kiện kết luận,Không có sự khác biệt về số lượng bài học / tuần của người dùng trước và sau khi mua premium,single_choice
575,"Segment của một ứng dụng có 40.000 users. Để thực hiện khảo sát tập segment ngày cần tối thiểu sample size là bao nhiêu để có được Margin of Error: 5%, Confidence Level: 99%?",,653 users ,381 users,269 users,5786 users,single_choice
576,"Given the following 3 pairs of data (A1-A2, B1-B2, C1-C2).
Select all pairs of STRONG linear correlations that are statistically significant",149781,C,All of the above,A ,B,single_choice
579,"Một kiểm định Kruskal-Wallis Test so sánh ba nhóm (p-value = 0.08, α=0.05). Kết luận là gì?",83525,H0 bị bác bỏ,Không đủ thông tin để kết luận,Reject H0,Fail to reject H0,single_choice
582,"Một kiểm định Z-test for Two Proportions kiểm tra tỷ lệ thành công giữa hai nhóm (p-value = 0.04, α=0.05). Kết luận là gì?",83310,H0 không thể bị bác bỏ,Không đủ thông tin để kết luận,Fail to reject H0,Reject H0,single_choice
585,"Trong hypothesis testing, nếu alternative hypothesis là “Trung bình thu nhập của nhóm A LỚN HƠN 50 triệu đồng”, loại kiểm định nào nên sử dụng?",114200,Không thể xác định,Kiểm định 1 phía ,Kiểm định 2 phía,,single_choice
659,"Một app học vẽ thực hiện survey user, trong đó có 2 câu hỏi phân loại:
1. Mục đích học vẽ của bạn: (Single Choice)
2. Đánh giá mức độ dễ sử dụng của ứng dụng (Likert Scale)
Để xác định có sự khác biệt về đánh giá mức độ dễ dùng giữa các mục đích học vẽ không, phương pháp kiểm định nào được sử dụng?",,Kruskal-Wallis Test ,Two Sample t-Test,Z-Test for Two Proportions,Chi-squared Test,single_choice
662,"Trong hypothesis testing, nếu alternative hypothesis là “Trung bình thời gian phản hồi của hai nhóm KHÁC NHAU”, loại kiểm định nào nên sử dụng?",162063,Không thể xác định,Kiểm định 1 phía (phải),Kiểm định 1 phía (trái),Kiểm định 2 phía,single_choice
665,"Trong hypothesis testing, nếu alternative hypothesis là “Tỷ lệ thất bại của phương pháp mới NHỎ HƠN phương pháp cũ”, loại kiểm định nào nên sử dụng?",88880,Không thể xác định,Kiểm định 1 phía ,Kiểm định 2 phía,,single_choice
669,"Trong hypothesis testing, nếu alternative hypothesis là “Trung bình chiều cao của nam sinh viên lớn hơn 170 cm”, loại kiểm định nào nên sử dụng?",176190,Kiểm định 1 phía (phải),Kiểm định 2 phía,Kiểm định không tham số,Không thể xác định,single_choice
672,Bạn muốn so sánh trung bình điểm số của một nhóm học sinh với một giá trị cố định là 75. Loại kiểm định nào phù hợp?,118905,One Sample t-Test,Kruskal-Wallis Test,Paired Sample t-Test,Two Sample t-Test,single_choice
703,"Sau khi tìm ra được 10 nguyên nhân khiến người dùng không thực hiện mua premium.
Researcher muốn khảo sát trên toàn bộ user chưa mua chia theo 4 segments (mỗi segment có 500.000 users). Giả sử mỗi ngày thu thập được 50 responds.
Sau tối thiểu bao nhiêu ngày nhóm nghiên cứu có thể dừng khảo sát? (Yêu cầu khảo sát Margin of Error: 5%, Confidence Level: 95%)",,8 ngày,45 ngày,31 ngày ,12 ngày,single_choice
707,"Khi cần đảm bảo tính đại diện của từng tầng trong population, dùng?",,Convenience sampling (lấy mẫu thuận tiện),Random sampling (Chọn mẫu ngẫu nhiên),Stratified sampling (lấy mẫu phân tầng) ,Systematic sampling (Chọn mẫu ngẫu nhiên hệ thống),single_choice
710,Phương pháp lấy mẫu nào liên quan đến việc chọn ngẫu nhiên?,23565,Lấy mẫu tiện lợi,Lấy mẫu có chủ đích,Lấy mẫu theo hạn ngạch,Lấy mẫu ngẫu nhiên,single_choice
713,Hạn chế của một mẫu không đại diện là gì?,34331,Sự tham gia thấp,Quá trình chậm,Chi phí cao,Kết quả thiên lệch,single_choice
716,Phương pháp nào đảm bảo sự đa dạng trong mẫu?,49846,Lấy mẫu phân tầng,Lấy mẫu tiện lợi,Lấy mẫu ngẫu nhiên,Lấy mẫu có chủ đích,single_choice
719,Random sampling giúp gì cho nghiên cứu?,,Giảm bias và tăng tính khách quan,Giảm chi phí,Tăng tốc độ,Không cần chuẩn bị,single_choice
722,Snowball sampling hữu ích khi?,,"Đối tượng nghiên cứu hiếm, khó tiếp cận",Population rất phổ biến,Survey online,Nghiên cứu định lượng lớn,single_choice
726,"Với nghiên cứu hành vi người mới, timeframe phù hợp là?",,Ngay sau onboarding,Sau 1 năm,Lúc người dùng không hoạt động,Khi người dùng đã trung thành,single_choice
729,Timeframe cần gắn với?,,Mục tiêu và giả thuyết nghiên cứu,Số lượng researcher,Ngân sách cố định,Kỹ năng design,single_choice
732,Random sampling có ưu điểm chính là gì?,,Giảm bias và tăng tính đại diện ,Tốn ít thời gian hơn,Không cần chọn cỡ mẫu,Chỉ áp dụng cho định tính,single_choice
733,"In market and user research, Pre-testing helps avoid which problem?",37876,Low participation,Slow process,High cost,Question ambiguity,single_choice
759,Broaden Use trong hành trình người dùng thường liên quan đến:,168820,Thu hút người dùng mới,Giữ người dùng không rời đi,Tăng số lượng người giới thiệu,Mở rộng kịch bản sử dụng hoặc sản phẩm liên quan ,single_choice
763,"Để tìm ra những nhu cầu và động lực mới chưa được phát hiện trước đây, nhóm nghiên cứu cần thực hiện:",,Phân tích event tracking,Nghiên cứu khám phá ,Thống kê suy luận,Nghiên cứu giải thích,single_choice
764,"Nếu giả thiết là “Trung bình thu nhập của một nhóm người bằng 40 triệu đồng”, phương pháp kiểm định nào nên được chọn?",185615,Z-test for Two Proportions,Paired Samples t-Test,Two Sample t-Test,One Sample t-Test,single_choice
767,"Ứng dụng đọc báo tiếng Trung muốn kiểm định thời gian đọc bài trung bình / ngày của user giữa 2 categories bài viết có khác nhau không, phương pháp kiểm định nào được sử dụng?",,Two Sample t-Test ,Two Sample t-Test,Paired Sample t-Test,Chi-squared Test,single_choice
770,Bạn muốn kiểm tra xem trung bình thời gian hoàn thành công việc của hai nhóm công nhân có khác nhau không. Loại kiểm định nào phù hợp?,18600,One Sample t-Test,Paired Samples t-Test,Z-test for Two Proportions,Two Sample t-Test,single_choice
773,"Nếu giả thiết là “Trung bình huyết áp của một nhóm bệnh nhân trước và sau điều trị là khác nhau”, phương pháp kiểm định nào nên được chọn?",104228,Kruskal-Wallis Test,Two Sample t-Test,One Sample t-Test,Paired Samples t-Test,single_choice
776,Một lớp học muốn kiểm tra chất lượng khóa học có ảnh hưởng đến điểm số học viên trước và sau khi học không. Phương pháp kiểm định nào được sử dụng?,,Paired Sample t-Test ,Two Sample t-Test,Paired Sample t-Test,Chi-squared Test,single_choice
779,"Một app SaaS thực hiện survey user, trong đó có 2 câu hỏi phân loại:
1. Bạn biết đến ứng dụng qua đâu: (Single Choice)
2. Mục đích sử dụng app của bạn: (Single Choice)
Để xác định có sự khác biệt về mục đích sử dụng app giữa marketing sources, phương pháp kiểm định nào được sử dụng?",,Chi-squared Test ,Two Sample t-Test,Paired Sample t-Test,Kruskal-Wallis Test,single_choice
782,"Một app học vẽ chia người dùng thành 5 nhóm có chủ đích sau đó survey từng nhóm . Câu hỏi survey:
""Đánh giá mức hài lòng khi sử dụng cọ vẽ trong quá trình vẽ (Likert Scale)""
Để xác định có sự khác biệt về mức độ hài lòng khi sử dụng cọ vẽ giữa các nhóm, phương pháp kiểm định nào được sử dụng?",,Kruskal-Wallis Test ,Two Sample t-Test,Z-Test for Two Proportions,Chi-squared Test,single_choice
786,"Một ứng dụng ôn thi trắc nghiệm tiếng Anh, bạn muốn xem có sự khác biệt về CR hoàn thành bài test giữa 2 nhóm người dùng:
Group A: User lựa chọn các bài kiểm tra được đề xuất
Group B: User tự lựa chọn các bài kiểm tra trong danh sách.
Loại kiểm định nào phù hợp?",,Z-test for Two Proportions ,One Sample t-Test,Paired Samples t-Test,Kruskal-Wallis Test,single_choice
790,"Trong thực tế, Central Limit Theorem được ứng dụng nhiều nhất để:",,Sử dụng phân phối chuẩn trong kiểm định giả thuyết và khoảng tin cậy,Đảm bảo mọi biến số đều độc lập,Giảm chi phí lấy mẫu,Loại bỏ outlier khỏi dữ liệu,single_choice
794,"Khi kích thước mẫu càng lớn, phân phối trung bình mẫu có dạng:",,Ngày càng gần chuẩn,"Ngày càng lệch phải
",Luôn nhọn hơn gốc,Không thay đổi,single_choice
800,Định lý luật số lớn (Law of Large Numbers) nói rằng:,,"Khi số lượng quan sát tăng, trung bình mẫu sẽ tiến gần đến trung bình tổng thể","Khi số lượng quan sát tăng, phân phối mẫu sẽ luôn chuẩn",Kích thước mẫu nhỏ vẫn đủ đại diện,Xác suất của mọi sự kiện hiếm sẽ tăng dần,single_choice
803,"Nếu sample size nhỏ, Luật số lớn  cho kết quả thế nào?",,"Trung bình mẫu có thể dao động mạnh, chưa phản ánh đúng kỳ vọng ",Trung bình luôn chuẩn xác,Luôn hội tụ,Posterior không đổi,single_choice
808,“Prior” trong Bayes nghĩa là gì?,,Niềm tin ban đầu về xác suất trước khi có dữ liệu,Kết quả quan sát,Xác suất cuối cùng,Sai số chuẩn,single_choice
813,"Trong một ứng dụng E-commerce, chọn ngẫu nhiên người dùng trong segment A và B, dưới đây là thời gian hoàn thành đơn hàng của 2 tập, đơn vị: giây.
Tập người dùng nào có thời gian hoàn thành đơn hàng trung bình ngắn hơn?

Segment A: 185, 184, 160, 170, 200, 174, 165, 183, 173, 181, 179, 187, 162, 170, 179, 183, 184, 172, 179, 182, 172, 190, 172, 171, 186, 163, 186, 175, 179, 176, 178, 177, 181, 166, 170, 178, 176, 163, 181, 162, 176, 175

Segment B: 150, 166, 161, 164, 157, 168, 160, 167, 157, 162, 173, 157, 161, 150, 148, 154, 178, 158, 157, 160, 158, 157, 169, 166, 168, 164, 144, 159, 156, 158, 166, 155, 170, 153, 162, 161, 162, 153, 161, 154, 171, 170, 153, 163, 161, 171, 168, 164, 168, 167, 165, 164, 159",,A ,B,2 tập có thời gian hoàn thành đơn hàng trung bình khác nhau nhưng chưa đủ ý nghĩa thống kê,Không thể so sánh vì 2 tập khác kích thước mẫu,single_choice
818,"Dưới đây là dữ liệu theo TỪNG CẶP về thời gian hoàn thành luồng A của người dùng trước và sau khi cải tiến (đơn vị: giây).
Trước cải tiến: 32,34,32,30,36,36,34,36,31,32,33,37,31,35,33,31,33,35,32,36,35,30,35,34,30,32,38,30,36,33
Sau cải tiến: 28,35,30,30,33,32,31,29,34,24,29,31,30,32,22,30,29,32,35,30,32,32,33,26,26,32,28,35,31,30

Có sự KHÁC BIỆT về trung bình thời gian hoàn thành luồng trước và sau cải tiến không? (Alpha: 0.01)",,Có sự khác biệt ,Không có sự khác biệt,Không thể xác định được,,single_choice
823,NPS mang tính chất gì nhiều hơn so với CSAT?,,Ngắn hạn,Dài hạn,Cảm xúc tức thời,Chỉ số vận hành,single_choice
888,"Một website ôn thi tiếng Tây Ban Nha sau khi ra mắt tính năng customize lộ trình học muốn đánh giá mức độ hiệu quả của tính năng đối với điểm thi của người dùng.
Tiếc rằng đội ngũ PM không thể truy vấn được danh sách điểm cũ, chỉ có trung bình điểm số trước khi ra mắt tính năng là 72 điểm.

Điểm số của người dùng sau khi sử dụng tính năng customize lộ trình như sau: 78, 66, 75, 73, 69, 72, 77, 75, 71, 77, 72, 71, 76, 78, 78, 80, 80, 73, 67, 71, 69, 69, 69, 77, 69, 67, 77, 71, 74, 73, 80, 77, 79, 69, 74, 72, 72, 71, 70, 68, 72, 70, 77, 77, 80, 67, 82, 76, 75, 74, 73, 78, 79, 68, 67, 76, 70, 79, 81, 78, 76, 79, 74, 74, 81, 68, 79, 70, 73.

Kết luận nào sau đây là đúng?",70734,Người học sử dụng tính năng customize lộ trình học có điểm số trung bình cao hơn mức trung bình trước khi có tính năng customize. ,Không có sự khác biệt về điểm số trung bình trước và sau khi có tính năng customize,Trung bình điểm sau khi dùng tính năng customize thấp hơn trước khi có tính năng,Chưa đủ dữ kiện để kết luận,single_choice
